ligand,auroc,aupr,activity,pearson,cell_type
MMP9,0.649485828944069,0.0896680546042499,0.0232823854788548,0.0342191901312608,fibroblast
HLA.DQB1,0.636891325378909,0.0896269698337289,0.0232413007083338,0.0677230253816652,fibroblast
ITGAL,0.64850048371493,0.0894970484439157,0.0231113793185205,0.0173014144466495,fibroblast
EFNB3,0.650077036081552,0.0894888148447341,0.0231031457193389,0.07336201021386,fibroblast
COL15A1,0.647550969221398,0.08945504955076,0.0230693804253649,0.0698825181984897,fibroblast
TPSB2,0.642857142857143,0.0892812488839033,0.0228955797585082,0.0780291059609243,fibroblast
GZMB,0.645777347808951,0.0892752513643049,0.0228895822389097,0.079165548664771,fibroblast
COL12A1,0.639238238561037,0.0891096815739799,0.0227240124485848,0.0663109439199176,fibroblast
S100A9,0.649432082840663,0.0890596808263802,0.022674011700985,0.0272758659304395,fibroblast
HLA.DRB1,0.651474434770146,0.0889533212490021,0.022567652123607,0.038538852466888,fibroblast
CLEC2D,0.648231753197892,0.0888151237649211,0.0224294546395259,0.0308530880031636,fibroblast
COL9A2,0.639506969078077,0.0887873076190646,0.0224016384936694,0.0300082254233855,fibroblast
CD274,0.629259378695044,0.0887223208370532,0.022336651711658,0.0426165927282729,fibroblast
CD70,0.656562399226059,0.0887077071364439,0.0223220380110487,0.0472870596500573,fibroblast
EFNA4,0.647622630692611,0.0887045456459556,0.0223188765205604,0.0585416255466176,fibroblast
VTN,0.643072127270775,0.0886740490626721,0.022288379937277,0.0320633065064811,fibroblast
CXCL16,0.638575369952344,0.0886572994043835,0.0222716302789883,0.0170949012264699,fibroblast
MMP2,0.646619370095669,0.0886288834873909,0.0222432143619957,0.0496037694694065,fibroblast
EGF,0.64434411838475,0.0881997264937616,0.0218140573683664,0.0130278980223498,fibroblast
TYROBP,0.642122612777241,0.0880549581401426,0.0216692890147474,0.0225236649986142,fibroblast
VEGFB,0.645616109498729,0.0879106420164338,0.0215249728910387,0.0725618716445385,fibroblast
APP,0.64547278655631,0.0877932866522835,0.0214076175268883,0.00258520563339785,fibroblast
PTGS2,0.640241499157976,0.0877742350844068,0.0213885659590116,0.0596200172591386,fibroblast
APOA1,0.642068866673832,0.0876392019335646,0.0212535328081695,0.0170263995882747,fibroblast
JAG1,0.638521623848938,0.0876143040693289,0.0212286349439337,0.0117758520820153,fibroblast
HLA.DQA1,0.646923931348312,0.0875752005300218,0.0211895314046267,0.0760259557509796,fibroblast
PTHLH,0.633147013508188,0.0874955425628538,0.0211098734374586,0.0149093214383229,fibroblast
ICAM2,0.643340857787812,0.087465366795546,0.0210796976701508,0.0475378794043441,fibroblast
CCL21,0.63932781540005,0.0874188781411979,0.0210332090158027,0.0555518429011028,fibroblast
CD5L,0.640617721881831,0.0874156734958988,0.0210300043705037,0.0364594069389297,fibroblast
VEGFC,0.642427174029885,0.0874038452382616,0.0210181761128665,0.0142035224852743,fibroblast
CD209,0.635601418897131,0.0873480077842455,0.0209623386588504,0.0382306254571667,fibroblast
B2M,0.643699165143862,0.0873458088038895,0.0209601396784943,0.0255917780913154,fibroblast
CXCL5,0.635995556988786,0.0873202738889647,0.0209346047635695,0.0618335585701671,fibroblast
HLA.B,0.646189401268409,0.0873145563848751,0.02092888725948,0.0743986040480926,fibroblast
IL32,0.620588340678634,0.0872462235983661,0.020860554472971,0.0528174569049498,fibroblast
SPP1,0.643932064925293,0.0872299733167378,0.0208443041913426,0.00835462058765448,fibroblast
PRSS2,0.633326167186212,0.0872264560833497,0.0208407869579546,0.0425992369952049,fibroblast
MMP16,0.640617721881829,0.0871882209196837,0.0208025517942886,0.0562470352618748,fibroblast
MIF,0.638772438998173,0.0871189797384482,0.0207333106130531,0.0138338297739718,fibroblast
PECAM1,0.632125837543444,0.0871001040942758,0.0207144349688806,0.0631220014393428,fibroblast
PF4,0.636479271919452,0.0869939932409443,0.0206083241155492,0.0245981112309985,fibroblast
ITGAM,0.638109570389479,0.0868197548730248,0.0204340857476297,0.0389590287360232,fibroblast
XCL2,0.634813142713821,0.0867647398909097,0.0203790707655146,0.0621070715267914,fibroblast
TNFSF18,0.643107958006379,0.0867405052619023,0.0203548361365071,0.069817309363755,fibroblast
CCL23,0.636103049195599,0.0867129993338056,0.0203273302084104,0.00324506014368962,fibroblast
IGF2,0.63409652800172,0.0865974539397459,0.0202117848143508,0.0123479714989258,fibroblast
PNOC,0.635225196173276,0.0865893479700698,0.0202036788446746,0.0168368027691528,fibroblast
SELPLG,0.637070479056936,0.0864739218249556,0.0200882526995605,0.001442761772804,fibroblast
TNFRSF14,0.642803396753738,0.0864663456262945,0.0200806765008993,0.00735540753138328,fibroblast
RARRES1,0.619853810598732,0.0863877593780893,0.0200020902526941,0.0486997981059239,fibroblast
FGF12,0.646278978107422,0.0863800341274859,0.0199943650020907,0.0753064000697108,fibroblast
XCL1,0.633057436669176,0.0863743774189,0.0199887082935049,0.0601416032153151,fibroblast
C1QB,0.635368519115698,0.0863655422177685,0.0199798730923734,0.0638736825157134,fibroblast
S100B,0.632949944462359,0.0862559463633876,0.0198702772379925,0.00483169083529687,fibroblast
CD47,0.640169837686767,0.0862400759830916,0.0198544068576964,0.0277867187182835,fibroblast
GDNF,0.640689383353042,0.0862123607534686,0.0198266916280735,0.0200522719644033,fibroblast
CLEC2B,0.635261026908882,0.0858754344640338,0.0194897653386387,0.0575001347395332,fibroblast
VEGFD,0.636998817585726,0.0858630360920584,0.0194773669666633,0.0479095323095897,fibroblast
TNFSF15,0.634795227346017,0.0857149869653893,0.0193293178399941,0.011143143354705,fibroblast
THBS2,0.626536242789063,0.0856637320521311,0.019278062926736,0.0296708516722507,fibroblast
CCL18,0.615285391809095,0.0856009991735283,0.0192153300481332,0.0361895227710563,fibroblast
ANGPTL1,0.637034648321331,0.0855325549266589,0.0191468858012638,0.0676022683187411,fibroblast
ITGA9,0.634221935576337,0.0855127737026063,0.0191271045772112,0.0649656425378099,fibroblast
IGF1,0.638808269733779,0.0854062734535453,0.0190206043281501,0.0167058382138907,fibroblast
CCL8,0.636765917804294,0.0852569418985442,0.0188712727731491,0.0601370496193848,fibroblast
CCL3L3,0.634078612633917,0.0852344890759766,0.0188488199505815,0.0185025142011412,fibroblast
CXCL3,0.635081873230858,0.0851916572708066,0.0188059881454115,0.0363123248655787,fibroblast
ICAM1,0.62506718262926,0.0851622084253674,0.0187765392999723,0.0344980111345302,fibroblast
HLA.A,0.636049303092194,0.0849067203638544,0.0185210512384593,0.0472563191065518,fibroblast
HGF,0.632609552474112,0.084858244201045,0.0184725750756499,0.00594331267236035,fibroblast
CD86,0.634580242932388,0.0848404298943693,0.0184547607689741,0.00418147712462488,fibroblast
PGF,0.633881543588091,0.0848396467830209,0.0184539776576258,0.00696752343515516,fibroblast
CCL20,0.633164928875988,0.0848064035837958,0.0184207344584006,0.0261575436632158,fibroblast
HLA.DPB1,0.634759396610413,0.0847171835581912,0.018331514432796,0.0611767835446132,fibroblast
CXCL9,0.635977641620983,0.0846978881118067,0.0183122189864115,-0.00685142920209091,fibroblast
FGF13,0.638718692894767,0.0846233374484442,0.0182376683230491,0.0640233774305814,fibroblast
IL16,0.633827797484683,0.0845196311200484,0.0181339619946532,0.0116196113348715,fibroblast
CCL19,0.63544018058691,0.0845186593825163,0.0181329902571211,-0.0107301520961156,fibroblast
HLA.DRA,0.638682862159162,0.0844731191445445,0.0180874500191493,0.0340833667752569,fibroblast
ACE,0.638414131642124,0.0843689938547543,0.0179833247293592,0.011683085644869,fibroblast
IGFBP3,0.625120928732668,0.0843341802791703,0.0179485111537752,0.0546499354354522,fibroblast
BGN,0.630800100326059,0.0843197694336148,0.0179341003082197,0.0462813958850111,fibroblast
CXCL10,0.636479271919454,0.0842874407630983,0.0179017716377031,0.00216413038818411,fibroblast
CCL4L2,0.627252857501165,0.0842511816786298,0.0178655125532346,0.000447716294071271,fibroblast
ENG,0.627396180443586,0.0841798399074735,0.0177941707820783,0.0433724106681382,fibroblast
CCL11,0.635708911103945,0.0841558333867348,0.0177701642613396,0.0372662017073161,fibroblast
ICAM3,0.620964563402487,0.0840605287545231,0.017674859629128,0.0507259165775955,fibroblast
GAS6,0.611935218030027,0.0840235695356205,0.0176379004102253,0.061129919004986,fibroblast
HLA.E,0.633415744025226,0.0839283686805343,0.0175426995551391,0.0410409179733517,fibroblast
LTB,0.607635529757426,0.0838053169196659,0.0174196477942707,0.0395931687372166,fibroblast
FGF2,0.623974345193306,0.0837429536511964,0.0173572845258013,0.0156278784065109,fibroblast
HLA.C,0.629169801856032,0.0837048409754409,0.0173191718500457,0.0636846783036147,fibroblast
TNFSF14,0.634723565874807,0.0836837654526558,0.0172980963272606,-0.0108231826302392,fibroblast
ICOSLG,0.627539503386005,0.0836435155818353,0.0172578464564401,0.0291282701265194,fibroblast
FASLG,0.630423877602208,0.0834705528569873,0.0170848837315921,0.00427822322300647,fibroblast
CD80,0.627414095811387,0.0832995113016239,0.0169138421762288,0.0119254361518685,fibroblast
CXCL8,0.631445053566953,0.0831249625488078,0.0167392934234127,-0.00194131213024012,fibroblast
CD48,0.624153498871331,0.0830415547523382,0.016655885626943,0.0185843442388898,fibroblast
NRG4,0.618563904116951,0.0827375393994373,0.0163518702740422,0.0600689724877481,fibroblast
CXCL6,0.621072055609302,0.0826301383466321,0.0162444692212369,0.00237170807936654,fibroblast
INHA,0.625586728295532,0.0825410573345347,0.0161553882091396,0.0560984096776425,fibroblast
CCL28,0.611433587731556,0.082441547142939,0.0160558780175439,0.0217778726781443,fibroblast
CEACAM1,0.623687699308466,0.0824114758270451,0.01602580670165,0.0600407604247781,fibroblast
CCL13,0.624852198215631,0.0824060694469903,0.0160204003215951,-0.000431191481579243,fibroblast
TGFB2,0.618528073381344,0.0823950448831271,0.0160093757577319,0.00754901320032344,fibroblast
ALCAM,0.60937332043427,0.0823363340893537,0.0159506649639586,0.0548351151826078,fibroblast
TNFSF13B,0.62069583288545,0.0822995425986016,0.0159138734732065,0.00975352674889482,fibroblast
CD28,0.62141244759755,0.0822432508177783,0.0158575816923832,0.00771056164569407,fibroblast
PDCD1LG2,0.62764699559282,0.0820745698274614,0.0156889007020663,0.0249861378552596,fibroblast
