ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
BMP2,ENG,fibroblast,7.42475513788689,0.248245493019667,0.000565648054965083,0.000235699279151855,0.151885808871739,5,5,1,6.65125141917342e-05,6.65125141917342e-05
ICAM2,ITGB2,fibroblast,13.7777733673378,0.472580174006519,0.000729463511259132,0.00377684919902262,0.0923396068230919,4,5,0.8,8.24982667815169e-05,6.59986134252135e-05
VCAM1,EZR,fibroblast,5.9173770231515,0.200994943891205,-0.000584142199465234,3.8004265834728e-12,0.104087621053989,4,5,0.8,7.99784838290888e-05,6.39827870632711e-05
S100A8,ITGB2,fibroblast,8.03372663431609,0.304038239183743,0.000729463511259132,0.00377684919902262,0.0923396068230919,5,5,1,6.39147480154663e-05,6.39147480154663e-05
CD86,CD28,fibroblast,5.70170650947859,0.193693582971677,0.00141840234954908,0.0080731559869445,0.0545481905048529,4,5,0.8,7.88641949744373e-05,6.30913559795499e-05
OSM,IL6ST,fibroblast,6.05597509865603,0.203816950189088,0.00100862829882243,7.91672869462207e-18,0.173694336661758,4,5,0.8,7.05009134429482e-05,5.64007307543585e-05
INHBA,ENG,fibroblast,6.51146328474131,0.219843345866833,0.000565648054965083,0.000235699279151855,0.151885808871739,4,5,0.8,6.32118295610355e-05,5.05694636488284e-05
IL1B,IL1R2,fibroblast,7.10124936737752,0.24339349449672,-0.000676303570241836,1.5013110737537e-11,0.0524200049442695,4,5,0.8,6.31472042424046e-05,5.05177633939237e-05
VCAM1,ITGB2,fibroblast,5.9173770231515,0.200994943891205,0.000729463511259132,0.00377684919902262,0.0923396068230919,4,5,0.8,5.94473151526571e-05,4.75578521221257e-05
FGG,ITGB2,fibroblast,6.12047778296005,0.208534885962079,0.000729463511259132,0.00377684919902262,0.0923396068230919,4,5,0.8,5.69740401711373e-05,4.55792321369099e-05
ICAM1,EZR,fibroblast,16.0763844095358,0.578051480260065,-0.000584142199465234,3.8004265834728e-12,0.104087621053989,5,5,1,4.19480745200546e-05,4.19480745200546e-05
IAPP,RAMP1,fibroblast,5.21545550472524,0.176647281452921,-0.000640517575499261,2.5469748990132e-16,0.274460698431807,4,5,0.8,5.03407866558674e-05,4.02726293246939e-05
MMP9,ITGB2,fibroblast,6.10526176512423,0.209905019389061,0.000729463511259132,0.00377684919902262,0.0923396068230919,4,5,0.8,4.94531785662162e-05,3.9562542852973e-05
CD40LG,ITGB2,fibroblast,5.29649733885079,0.179702154916749,0.000729463511259132,0.00377684919902262,0.0923396068230919,4,5,0.8,4.6823707750204e-05,3.74589662001632e-05
FASLG,FAS,fibroblast,5.53201483230956,0.188918507292129,0.000773571553818065,5.303297032815e-06,0.106398529617249,3,5,0.6,5.10349807132049e-05,3.06209884279229e-05
