gene,sample_id,coef,se,n_cells,pval,dispersion
ADM2,Lung13,-0.000229428263625277,0.000903963911765899,13609,0.799648173654076,0.199150150654983
ADORA2A,Lung5,-0.000732730187439738,0.000405085780452576,37735,0.0704778495640607,0.273793864510395
ADORA2A,Lung6,0.00325309199185915,0.00262458526152418,3252,0.215171873157602,0.122840644122512
ADORA2A,Lung9,0.00180920853895049,0.000756360006768744,21893,0.0167571198805427,0.191240940500091
ADORA2A,Lung12,-0.000313278791623779,0.00056448282508616,16548,0.578905779607029,0.359311623090359
ADORA2A,Lung13,-1.30253376313931e-05,0.00105161929114337,13609,0.990117668855894,0.162386315991523
AGR2,Lung5,-0.0049035212506438,0.000390588303887961,37735,3.77001657595907e-36,0.25281913263762
AGR2,Lung6,-0.00423276518277358,0.00298713140441806,3252,0.156482929165057,0.116852056481814
AGR2,Lung9,-0.00346579757404365,0.000790371592261899,21893,1.15973548763153e-05,0.176701054212486
AGR2,Lung12,-0.00145821313253182,0.000558815697499343,16548,0.00906824383678977,0.363016423108284
AGR2,Lung13,-0.00131889219596887,0.00116254918837302,13609,0.256592034937128,0.137909583700457
AHI1,Lung5,0.000213718747882725,0.00029145519549735,37735,0.463386662030795,0.427116891504646
AHI1,Lung6,2.26879095481555e-05,0.00130230883095648,3252,0.986100518805067,0.336671369975982
AHI1,Lung9,-0.000867634680110831,0.000527561947677344,21893,0.100049862255298,0.301150687990282
AHI1,Lung12,-0.000515631196239882,0.00044043320062578,16548,0.241704734128977,0.486676474691957
AHI1,Lung13,0.000800285559667122,0.000703982805544866,13609,0.255623146919168,0.285773488863534
AHR,Lung5,0.000622248617101064,0.000245507347981376,37735,0.011259451731978,0.551143621746036
AHR,Lung6,-0.00246219559769466,0.0010184467357173,3252,0.0156232923548182,0.474817738192188
AHR,Lung9,9.70489264624733e-05,0.000545715108276144,21893,0.858850141376668,0.283972801239373
AHR,Lung12,-0.00014678307207472,0.000454979196443439,16548,0.746986901231798,0.47402624323335
AHR,Lung13,-1.4387024811788e-05,0.000641549047244243,13609,0.982108580868918,0.321771036072088
AKT1,Lung5,-0.00134525151639173,0.000238324757271452,37735,1.65551225772199e-08,0.525190989929631
AKT1,Lung6,-1.47359227604648e-06,0.0010100231426875,3252,0.998835911714131,0.478419300834509
AKT1,Lung9,-0.00335870902587569,0.000447185262755194,21893,5.87772027480118e-14,0.366880858559835
AKT1,Lung12,0.000325901350021488,0.00044998892623087,16548,0.4689165365036,0.471852762250724
AKT1,Lung13,-0.0017331652925709,0.000445929926776927,13609,0.000101644882017376,0.4948080493453
ALCAM,Lung5,-0.00029059703255104,0.000249645778137604,37735,0.244408839265297,0.514180809061788
ALCAM,Lung6,-0.000365061175163258,0.00146668548502505,3252,0.803436469760061,0.296204937142331
ALCAM,Lung9,-0.00373273739045399,0.000496450119270985,21893,5.52572363936146e-14,0.343473748729876
ALCAM,Lung12,0.000639085821944149,0.000323364002492818,16548,0.0481132688223472,0.701302778791995
ALCAM,Lung13,-0.000713353505133131,0.000671654754172345,13609,0.288197730612562,0.299610137028412
ANGPT1,Lung5,0.000532855432859876,0.000329476113200864,37735,0.105817655027182,0.38685583445508
ANGPT1,Lung6,0.00419815692392214,0.00161051632626487,3252,0.00914154367108567,0.253365685135385
ANGPT1,Lung9,0.000743792045080817,0.00066533174303735,21893,0.263598348601911,0.220760470670628
ANGPT1,Lung12,-0.00014049394337764,0.000467927829742531,16548,0.763988730485619,0.455766930133019
ANGPT1,Lung13,0.000102974737177139,0.000824446618792791,13609,0.900601417705932,0.22849015138733
ANGPT2,Lung5,-0.00110821317255351,0.000400627299179602,37735,0.00567146357728601,0.276659443437076
ANGPT2,Lung6,0.00217609613115687,0.00182356553511037,3252,0.232744307316437,0.223868981075487
ANGPT2,Lung9,-0.000188589295607141,0.000829385569520324,21893,0.820124891315612,0.161215882910907
ANGPT2,Lung12,-0.000773775641548077,0.00057272129719364,16548,0.176679118464632,0.353508543384085
ANGPT2,Lung13,0.000961393283930184,0.000927344634979123,13609,0.299868100682488,0.192946475731036
ANGPTL1,Lung5,0.00112128513477482,0.000338090770532106,37735,0.000911457426117225,0.377649447292854
ANGPTL1,Lung6,-0.000470094248300944,0.00186667568158788,3252,0.801168611989848,0.219764375042677
ANGPTL1,Lung9,0.000796752344609342,0.000647722529335085,21893,0.218666099030038,0.238113952905887
ANGPTL1,Lung12,-0.000737330244350431,0.000434992220152296,16548,0.0900673831716011,0.499232498121504
ANGPTL1,Lung13,-0.000644530384512316,0.000780880116026447,13609,0.409150395344773,0.251247629661849
ANXA1,Lung5,0.00276606636164169,0.000199811467582332,37735,1.39487361425212e-43,0.771860637507834
ANXA1,Lung6,0.000485378238361258,0.000830639221583481,3252,0.558989548370491,0.573545732349394
ANXA1,Lung9,0.00137016075026982,0.000508307058730265,21893,0.0070275162072247,0.31454657636348
ANXA1,Lung12,0.000932027104858835,0.000403058720070148,16548,0.0207564534990783,0.544448733482225
ANXA1,Lung13,-0.00181357716215772,0.000327908360903852,13609,3.18875613219751e-08,0.69668573532029
ANXA2,Lung5,-0.00118404209558181,0.000112716234361665,37735,8.22465469551512e-26,1.14245017205534
ANXA2,Lung6,-0.00369685504391643,0.000626950355359591,3252,3.71141137506578e-09,0.798396669651603
ANXA2,Lung9,0.000334212456728452,0.000301477995744108,21893,0.267611438288258,0.60152116582055
ANXA2,Lung12,-0.000843328419700022,0.00023684629147761,16548,0.000369927965249232,0.936676894620792
ANXA2,Lung13,-0.00179716365419134,0.000211417609905849,13609,1.88712267534248e-17,1.00124872595471
ANXA4,Lung5,-0.00316052655867292,0.000248924718646271,37735,6.16630697374938e-37,0.47458791074508
ANXA4,Lung6,-0.000525611062818149,0.00126723906685715,3252,0.678311256538793,0.373105541234961
ANXA4,Lung9,-0.000808106659930605,0.000574250327900279,21893,0.15935694219809,0.273499417567839
ANXA4,Lung12,-6.43183348153832e-05,0.000434920269565649,16548,0.882433252749665,0.505139747146271
ANXA4,Lung13,-0.00220352918490649,0.000482494658567157,13609,4.94870994830291e-06,0.465590171872259
APOA1,Lung5,-0.000334941799181145,0.000412058303909815,37735,0.41630377660994,0.270513143413732
APOA1,Lung6,-0.00131219363115843,0.00264598957202536,3252,0.619952326074994,0.122244523254395
APOA1,Lung9,0.00176913716582889,0.000765852719211158,21893,0.020886897443023,0.189475776408764
APOA1,Lung12,0.000183663089763965,0.000469906358029404,16548,0.695907815647726,0.44983467109162
APOA1,Lung13,-0.00200793382947148,0.00104118389186085,13609,0.0537916879419692,0.160871741387864
